「ドドスコぽいぽいのうた」は、|楽しんご|とあやまんＪＡＰＡＮの楽曲。	助動詞-*	ごと
この本来の中国式の炸醤麺の特徴を受け継いでいるのが盛岡の|じゃじゃ麺|である。	助動詞-*	のじゃ
相手は一般人ということで素性は伏せられていたが、２００６年１１月１３日の|なるトモ！|でカメラマンであることが明かされた。	助動詞-*	のなる
中学校の１年先輩に、ＦＭ秋田パーソナリティで共演中の|なるへや?ＲＲ|司会のイシコウさんこと石塚公評がいる。	助動詞-*	のなる
１９９２年には同じくＮＨＫの|にこにこぷん|と共演した。	助動詞-*	のに
神戸の|にくてん|や京都のベタ焼きなどにその原型がよく残されている。	助動詞-*	のに
テレビ番組の片づけ企画では同時期に話題となった断捨離の|やました?ひでこ|などと競演することもある。	助動詞-*	のや
また、同年１０月３０日フジテレビの|ライオン?の?ごきげんよう|に、剣轟天の姿で出演。	助動詞-*	ように
スミスはスモーキング・マンに「君は末期の|肺?がん|だぞ。	助動詞-*	んだ
圓生の次は順番からすれば正蔵だったが、協会幹部達は圓生の次は|５?代?目?柳家?小さん|だと暗黙の了解を取っていた。	助動詞-*	んだ
３０代で|つかしん|で店を始める。	助動詞-*	んで
シークル構想当初は|つかしん|で日帰り入浴施設を運営していたグンゼ株式会社が担当する事となっていたが、２００６年中に撤退。	助動詞-*	んで
愛称は|ぐるりん|であった。	助動詞-*	んであった
『恋人志願のモンスター』は、|峡塚?のん|による日本の漫画作品。	助動詞-*	んに
代表作品は|たか丸?くん|やしずポンなど。	助動詞-*	んや
主に男装の遊女や子供が|今様|や朗詠を歌いながら舞ったものを指すが、男性の白拍子もいた。	助動詞-*	様や
