「ｌｉｖｅｔｕｎｅ＋」はｋｚとモデルの|やの?あんな|による、ライブのためのユニットとなる。	指示詞-副詞形態指示詞	あんなに
建造時期が約３年離れているが、|ニュー?あかしあ|の同型船である。	指示詞-連体詞形態指示詞	あの
「ＶＥＣＴＯＲ」は、|いとうかなこ|の４枚目のベスト・アルバム。	指示詞-連体詞形態指示詞	この
「きっとしあわせ」は、|しゅうさえこ|の楽曲及びシングル。	指示詞-連体詞形態指示詞	この
「ランドセリング☆」は、|のみこ|の６枚目のシングル。	指示詞-連体詞形態指示詞	この
『うれしいひとこと』は、日本の女性歌手、|種ともこ|の５枚目のスタジオ・アルバム。	指示詞-連体詞形態指示詞	この
『きょうの猫村さん』とは、|ほしよりこ|の漫画である。	指示詞-連体詞形態指示詞	この
『男子高校生のハレルヤ！』は、著者・一之瀬六樹、イラスト・|ありえこ|のライトノベル。	指示詞-連体詞形態指示詞	この
１９９２年頃までは、仙台のメガネセンターと同じ、|のこいのこ|のＣＭソングが使用されていた。	指示詞-連体詞形態指示詞	この
ＯＰムービーとＥＤムービーが変更され、ＥＤ曲は|いとう?かなこ|の曲に変更された。	指示詞-連体詞形態指示詞	この
かの子の産休に伴い、漫才師の|海原?やすよ?・?ともこ|のやすよと、ナレーターを務めている喜多が交互に代役を務めた。	指示詞-連体詞形態指示詞	この
くのいち生徒会こいき七変化！！は|もり?ちかこ|の漫画作品。	指示詞-連体詞形態指示詞	この
こちらについては|しれとこ|の項目を参照されたい。	指示詞-連体詞形態指示詞	この
とんでる！ポニーテールは|もり?ちかこ|の漫画作品。	指示詞-連体詞形態指示詞	この
また、当時の|築地?銀?だこ|の指導者は最終企画のさしこ裁判で再登場し「あの放送以来アルバイトに舐められるようになった」と。	指示詞-連体詞形態指示詞	この
メガネセンターだった頃からテレビＣＭを手がけており、初期は|のこいのこ|の歌によるＣＭが放送されていた。	指示詞-連体詞形態指示詞	この
奥州家の家督は義兄弟で|はとこ|の業氏が継いだ。	指示詞-連体詞形態指示詞	この
佐瀬守男は、たこ焼きチェーン・|築地?銀?だこ|の創業者。	指示詞-連体詞形態指示詞	この
名物は、「|いいだこ|のおでん・かわらけ投げ」などがある。	指示詞-連体詞形態指示詞	この
和くぎは、|やっとこ|の一種の「えんま」という道具で四角い頭部を挟んでねじりながら引き抜いていた。	指示詞-連体詞形態指示詞	この
ヒトの場合、胴体の重心位置はみぞおちのやや上、全身の重心位置は|へそ|のやや下になる。	指示詞-連体詞形態指示詞	その
隠れキリシタンとして捕えられた一家だったが、投獄されても、拷問を受けても、|はらいそ|の門を潜るまで辛抱と耐え抜くのだった。	指示詞-連体詞形態指示詞	その
症状の重い場合は、|へそ|のあたりや骨盤の位置まで落ち込むこともある。	指示詞-連体詞形態指示詞	その
二人とも身長が同じで|へそ|の位置も同じであることからネタがやりやすいという。	指示詞-連体詞形態指示詞	その
２０１６年３月にオールナイトニッポンのチーフディレクターを外れ、|土屋?礼央?レオ?なるど|の担当になる。	指示詞-連体詞形態指示詞	どの
現状として、この厳しい制限のせいでＩＩは|あやしい?わーるど|の中で孤立した立場に有ると言わざるを得ない。	指示詞-連体詞形態指示詞	どの
本作は|ままれぇど|の製作の、キスをすると魔王になる体質となってしまった少年が主人公の学園恋愛アドベンチャー。	指示詞-連体詞形態指示詞	どの
