またＰＶ内では一切踊りを披露しておらず、これに対し|かしゆか|は「そういうところで、素の表情が出たのかな」とコメントしている。	接続詞-*	しかし
元西武の|岡本?真或|は「話が長いのは西武の小野コーチ。	接続詞-*	或は
また、声優を務める井出卓也と|金井?史更|により結成されたユニット。	接続詞-*	更に
「ロマンス交響曲」は、|さいとう?ちほ|の初のイラスト集である。	接頭辞-*	ほの
同日附で|平岡?粂一|大佐の艦長兼務が比叡及び日向となり、西村は日向艦長の任を解かれた。	接頭辞-*	一大
例えばのモジュールには、上辺が|らせん?綴じ|の冊子が付属した。	接尾辞-動詞的	がら
原作者の|みなづき?ふたご|とはコミックガムを通じた友人関係。	接尾辞-名詞的	ごと
同年６月１５日にお笑い芸人|楽?しんご|とのコラボレーション配信楽曲「ドドスコぽいぽいのうた」を発表。	接尾辞-名詞的	ごと
イラストレーションを１巻から９巻までがあろひろし、１０巻から１２巻と外伝は|つなき?亜樹|が手がけた。	接尾辞-名詞的	はつ
音楽は|つのごうじ|が担当。	接尾辞-名詞的	はつ
イラストレーターとしては、コバルト文庫から刊行されている須賀しのぶや|崎谷?はるひ|らの作品を多く担当した。	接尾辞-名詞的	ひら
